"","subclass","term","estimate","std.error","statistic","p.value","dataset","class","class_color","mapping","filtering"
"1","Astrocyte","(Intercept)",0.184859189790315,0.467162975162011,0.395705994736004,0.696511359438071,"Mathys","Non-neuronal","#7F7F7F","CgG","Unfiltered"
"2","Astrocyte","scale(age_death)",-0.0358740774579859,0.219938650897436,-0.163109473080814,0.872069120142535,"Mathys","Non-neuronal","#7F7F7F","CgG","Unfiltered"
"3","Astrocyte","factor(msex)1",-0.444039059820127,0.449117634459647,-0.988692105920911,0.334625128559235,"Mathys","Non-neuronal","#7F7F7F","CgG","Unfiltered"
"4","Astrocyte","scale(pmi)",-0.0535110378127324,0.229620135875419,-0.233041573678734,0.818097568414667,"Mathys","Non-neuronal","#7F7F7F","CgG","Unfiltered"
"5","Astrocyte","LOADAD",0.0441868108177284,0.482327196252866,0.0916116925626621,0.927917948375112,"Mathys","Non-neuronal","#7F7F7F","CgG","Unfiltered"
"6","Astrocyte","scale(age_death)",0.309113328875177,0.30982634579822,0.997698656254666,0.364229748865347,"Cain","Non-neuronal","#7F7F7F","CgG","Unfiltered"
"7","Astrocyte","factor(msex)1",1.18345494755323,0.399002593732194,2.96603321919142,0.0313000518305403,"Cain","Non-neuronal","#7F7F7F","CgG","Unfiltered"
"8","Astrocyte","scale(pmi)",-0.846223837820575,0.242809052146847,-3.48514122656676,0.0175616525509673,"Cain","Non-neuronal","#7F7F7F","CgG","Unfiltered"
"9","Astrocyte","LOADAD",0.504437748467936,0.6444694951266,0.782717804771882,0.46922312717945,"Cain","Non-neuronal","#7F7F7F","CgG","Unfiltered"
"10","Astrocyte","(Intercept)",0.188073800944113,0.424844750344101,0.442688301530815,0.666570146880759,"Zhou","Non-neuronal","#7F7F7F","CgG","Unfiltered"
"11","Astrocyte","scale(age_death)",0.0665963537883424,0.281524246343125,0.236556370022829,0.817348275265044,"Zhou","Non-neuronal","#7F7F7F","CgG","Unfiltered"
"12","Astrocyte","factor(msex)1",-0.609597285563382,0.581766722531417,-1.04783801127515,0.317191283433126,"Zhou","Non-neuronal","#7F7F7F","CgG","Unfiltered"
"13","Astrocyte","scale(pmi)",-0.196246958020706,0.29522371576853,-0.664739814380539,0.519909488021641,"Zhou","Non-neuronal","#7F7F7F","CgG","Unfiltered"
"14","Astrocyte","LOADAD",0.0810503622843093,0.554634177923623,0.146133010749061,0.886460000929963,"Zhou","Non-neuronal","#7F7F7F","CgG","Unfiltered"
"15","Astrocyte","(Intercept)",-0.843946348010582,0.433332396774373,-1.94757270467827,0.109008438368769,"Cain","Non-neuronal","#7F7F7F","CgG","Unfiltered"
"16","Endothelial","(Intercept)",-0.511691073883022,0.366417063743332,-1.39647173812149,0.190111783033754,"Zhou","Non-neuronal","#7F7F7F","CgG","Unfiltered"
"17","Endothelial","scale(age_death)",-0.41023370884422,0.242807019820892,-1.68954632838388,0.119223302325028,"Zhou","Non-neuronal","#7F7F7F","CgG","Unfiltered"
"18","Endothelial","factor(msex)1",-0.096300497170959,0.501758004732053,-0.19192618007636,0.8512970950864,"Zhou","Non-neuronal","#7F7F7F","CgG","Unfiltered"
"19","Endothelial","(Intercept)",0.460519521886496,0.411916839570433,1.11799149159998,0.276820446704179,"Mathys","Non-neuronal","#7F7F7F","CgG","Unfiltered"
"20","Endothelial","scale(age_death)",-0.375284931816352,0.193928968676592,-1.93516695508344,0.0672380019524033,"Mathys","Non-neuronal","#7F7F7F","CgG","Unfiltered"
"21","Endothelial","factor(msex)1",-0.825297939452967,0.396005519311136,-2.08405665882789,0.0501905039557101,"Mathys","Non-neuronal","#7F7F7F","CgG","Unfiltered"
"22","Endothelial","scale(pmi)",-0.0654419308735206,0.202465532801983,-0.323225044617963,0.749879986573982,"Mathys","Non-neuronal","#7F7F7F","CgG","Unfiltered"
"23","Endothelial","LOADAD",-0.100588298357926,0.425287757983063,-0.23651820789521,0.815436097461071,"Mathys","Non-neuronal","#7F7F7F","CgG","Unfiltered"
"24","Endothelial","(Intercept)",-0.590774581600105,0.635553807622191,-0.929542982065328,0.395271671223997,"Cain","Non-neuronal","#7F7F7F","CgG","Unfiltered"
"25","Endothelial","scale(age_death)",-0.725746031963523,0.454411706208653,-1.59711121445072,0.17113088530954,"Cain","Non-neuronal","#7F7F7F","CgG","Unfiltered"
"26","Endothelial","factor(msex)1",0.675682943187126,0.585203459481161,1.15461201098535,0.300431371252805,"Cain","Non-neuronal","#7F7F7F","CgG","Unfiltered"
"27","Endothelial","scale(pmi)",-0.322760123107335,0.356119733409671,-0.906324735271102,0.406319725345768,"Cain","Non-neuronal","#7F7F7F","CgG","Unfiltered"
"28","Endothelial","LOADAD",0.505866220013086,0.945221369491395,0.535182800919199,0.615459909460405,"Cain","Non-neuronal","#7F7F7F","CgG","Unfiltered"
"29","Endothelial","scale(pmi)",-0.0490520240003904,0.25462244029539,-0.192646115336435,0.850746753116704,"Zhou","Non-neuronal","#7F7F7F","CgG","Unfiltered"
"30","Endothelial","LOADAD",1.09560752064427,0.478356921585749,2.29035573899994,0.0427509335761552,"Zhou","Non-neuronal","#7F7F7F","CgG","Unfiltered"
"31","IT","(Intercept)",1.20737271968181,0.671218967527762,1.79877622369465,0.131965334020926,"Cain","Glutamatergic","#ff6a6a","CgG","Unfiltered"
